Scene;Bus;Peak source mix dB;Gain appliqué dB;Peak AAC final dB
intro;rhythm;-11.8;6.8;-3.7
intro;tops;-17.7;10.7;-6.4
intro;bass;-11.9;5.9;-6.0
intro;harmony;-14.5;8.5;-6.0
intro;lead;-9.3;3.3;-6.0
intro;fx;-23.3;15.3;-7.9
groove;rhythm;-7.4;2.4;-5.0
groove;tops;-13.3;6.3;-6.9
groove;bass;-9.3;3.3;-6.2
groove;harmony;-15.3;9.3;-6.0
groove;lead;-18.9;12.9;-6.0
groove;fx;-12.4;4.4;-8.4
drive;rhythm;-7.4;2.4;-5.0
drive;tops;-13.3;6.3;-7.1
drive;bass;-7.9;1.9;-6.1
drive;harmony;-15.5;9.5;-6.0
drive;lead;-15.1;9.1;-6.4
drive;fx;-91.0;0.0;-91.0
breakdown;rhythm;-11.8;6.8;-4.2
breakdown;tops;-17.5;10.5;-5.5
breakdown;bass;-12.5;6.5;-8.5
breakdown;harmony;-37.9;31.9;-6.0
breakdown;lead;-9.5;3.5;-5.9
breakdown;fx;-91.0;0.0;-91.0
chorus;rhythm;-7.4;2.4;-5.0
chorus;tops;-12.7;5.7;-7.2
chorus;bass;-8.9;2.9;-6.0
chorus;harmony;-8.3;2.3;-6.0
chorus;lead;-14.9;8.9;-6.0
chorus;fx;-0.9;-7.1;-8.0
finale;rhythm;-7.3;2.3;-5.0
finale;tops;-13.6;6.6;-7.0
finale;bass;-9.0;3.0;-6.0
finale;harmony;-7.0;1.0;-6.1
finale;lead;-20.7;14.7;-6.0
finale;fx;-91.0;0.0;-91.0
