Fichier source;Taille octets;Durée secondes;Fréquence;Canaux
_ A-TrueVerb Stereo _ Reverb _ EQ Eight.flac;24560958;200.0;44100;2
_ B-Delay.flac;9913029;200.0;44100;2
_ Omnisphere-1-1.flac;737066;200.0;44100;2
_ Omnisphere-1.flac;738085;200.5;44100;2
_ Omnisphere-2-1.flac;1833788;200.0;44100;2
_ Omnisphere-2.flac;1833297;200.5;44100;2
_ Omnisphere-3-1.flac;1957453;200.0;44100;2
_ Omnisphere-3.flac;1956120;200.5;44100;2
_ Omnisphere.flac;608753;200.0;44100;2
_ Open HH.flac;8492180;200.0;44100;2
_ PLUCK ARP.flac;8293619;200.0;44100;2
_ RIM.flac;556450;200.0;44100;2
_ RI_M.flac;5152822;200.0;44100;2
_ Rhodes.flac;3697326;200.0;44100;2
_ mid bass line.flac;5469617;200.0;44100;2
_ RST.flac;37642263;200.0;44100;2
_ SNARE-1-1.flac;4626341;200.0;44100;2
_ SNARE-1.flac;4623965;200.5;44100;2
_ SNARE.flac;11166078;200.0;44100;2
_ Trigger.flac;45244;200.0;44100;2
_ 11-Riser White Noise.flac;492624;200.0;44100;2
_ 12-VFX1 Downlifter 029.flac;3771768;200.0;44100;2
_ 16-Drum Rack.flac;5147805;200.0;44100;2
_ 16HH-1-1.flac;8136570;200.0;44100;2
_ 16HH-1.flac;8134544;200.5;44100;2
_ 3-BazzISM2.flac;7991622;200.0;44100;2
_ 4-fetter sub.flac;1809994;200.0;44100;2
_ 16HH.flac;18546056;200.0;44100;2
_ 17-Bongo A.flac;11519246;200.0;44100;2
_ 18-Bongo A.flac;235484;200.0;44100;2
_ 21-PB_118_808_Percs_Top_a.flac;3475774;200.0;44100;2
_ 30-Omnisphere.flac;4224394;200.0;44100;2
_ 31-Omnisphere.flac;4203522;200.0;44100;2
_ 32-Omnisphere.flac;3606731;200.0;44100;2
_ 35-Sylenth1.flac;13204196;200.0;44100;2
_ 36-Sylenth1.flac;14938285;200.0;44100;2
_ 37-Sylenth1.flac;45244;200.0;44100;2
_ 38-Sylenth1.flac;45244;200.0;44100;2
_ 39-Sylenth1.flac;45244;200.0;44100;2
_ 40-Sylenth1.flac;45244;200.0;44100;2
_ Basses.flac;17740019;200.0;44100;2
_ C-PC COMP.flac;22874676;200.0;44100;2
_ Guitar.flac;10716940;200.0;44100;2
_ HH FT.flac;9740127;200.0;44100;2
_ INTRO PAD.flac;5337538;200.0;44100;2
_ LIFTS.flac;5353962;200.0;44100;2
_ Lift.flac;1888668;200.0;44100;2
_ high bass line.flac;16073579;200.0;44100;2
